country,variable,percentile,year,value
AE,sptinc992j,p90p100,2000,0.5438
AE,sptinc992j,p90p100,2001,0.5449
AE,sptinc992j,p90p100,2002,0.5461
AE,sptinc992j,p90p100,2003,0.5475
AE,sptinc992j,p90p100,2004,0.549
AE,sptinc992j,p90p100,2005,0.5508
AE,sptinc992j,p90p100,2006,0.5529
AE,sptinc992j,p90p100,2007,0.5554
AE,sptinc992j,p90p100,2008,0.5584
AE,sptinc992j,p90p100,2009,0.5619
AE,sptinc992j,p90p100,2010,0.5416
AE,sptinc992j,p90p100,2011,0.5219
AE,sptinc992j,p90p100,2012,0.5026
AE,sptinc992j,p90p100,2013,0.4838
AE,sptinc992j,p90p100,2014,0.4858
AE,sptinc992j,p90p100,2015,0.4837
AE,sptinc992j,p90p100,2016,0.4817
AE,sptinc992j,p90p100,2017,0.4797
AE,sptinc992j,p90p100,2018,0.4778
AE,sptinc992j,p90p100,2019,0.4778
AE,sptinc992j,p90p100,2020,0.4778
AE,sptinc992j,p90p100,2021,0.4778
AE,sptinc992j,p90p100,2022,0.4778
AF,sptinc992j,p90p100,2000,0.4194
AF,sptinc992j,p90p100,2001,0.4194
AF,sptinc992j,p90p100,2002,0.4194
AF,sptinc992j,p90p100,2003,0.4194
AF,sptinc992j,p90p100,2004,0.4194
AF,sptinc992j,p90p100,2005,0.4194
AF,sptinc992j,p90p100,2006,0.4194
AF,sptinc992j,p90p100,2007,0.4194
AF,sptinc992j,p90p100,2008,0.4194
AF,sptinc992j,p90p100,2009,0.4081
AF,sptinc992j,p90p100,2010,0.4044
AF,sptinc992j,p90p100,2011,0.3942
AF,sptinc992j,p90p100,2012,0.3876
AF,sptinc992j,p90p100,2013,0.3923
AF,sptinc992j,p90p100,2014,0.3961
AF,sptinc992j,p90p100,2015,0.3987
AF,sptinc992j,p90p100,2016,0.4041
AF,sptinc992j,p90p100,2017,0.4101
AF,sptinc992j,p90p100,2018,0.4101
AF,sptinc992j,p90p100,2019,0.4101
AF,sptinc992j,p90p100,2020,0.4101
AF,sptinc992j,p90p100,2021,0.4194
