location_id,year,sitc_eci,hs_eci,growth_proj,sitc_eci_rank,hs_eci_rank,code
2,1995,-2.053099,-2.2342463,NA,127,128,AGO
2,1996,-2.314454,-2.3109896,NA,129,129,AGO
2,1997,-1.8002516,-1.5742364,NA,127,123,AGO
2,1998,-1.8566186000000002,-1.6792234000000001,NA,128,126,AGO
2,1999,-1.6730338,-1.3832619,NA,124,120,AGO
2,2000,-1.9108206,-1.9981978999999999,NA,131,131,AGO
2,2001,-2.1909294,-1.5238235,NA,132,128,AGO
2,2002,-1.8043644,-2.0181353,NA,132,132,AGO
2,2003,-1.8205143,-1.8762916,NA,132,131,AGO
2,2004,-0.8688107,-0.8513706,4.46,104,105,AGO
2,2005,-1.9427054,-1.6471983000000001,2.98,132,129,AGO
2,2006,-2.2010963,-2.0822983,2.89,133,132,AGO
2,2007,-1.7943202,-1.6925706999999999,2.74,130,128,AGO
2,2008,-1.8757999,-2.0318673,2.77,131,131,AGO
2,2009,-1.6072215,-0.8094379,2.74,128,100,AGO
2,2010,-1.5964296999999998,-1.3711004999999998,2.56,129,124,AGO
2,2011,-1.578048,-1.2529913000000001,2.82,128,123,AGO
2,2012,-1.6100594,-1.5210924,2.81,127,127,AGO
2,2013,-1.2408766000000002,-1.1720426000000002,3.3,120,116,AGO
2,2014,-1.5470685,-1.8184901000000002,2.39,129,133,AGO
2,2015,-1.6311153,-1.6542004000000001,5.14,131,132,AGO
2,2016,-0.98672175,-1.3135169,3.66,111,127,AGO
2,2017,-1.5807588,-1.4087764999999999,3.28,129,128,AGO
2,2018,-1.6785396000000001,-1.4891913,3.47,130,126,AGO
2,2019,-1.0207471,-0.61482006,4.55,112,90,AGO
2,2020,-0.74942106,-0.83246917,2.62,99,102,AGO
2,2021,-1.0400707,-1.0460101000000002,2.62,116,119,AGO
4,1995,-0.48601517,-0.39273018,NA,84,85,ALB
4,1996,-0.42357388,-0.30999237,NA,81,76,ALB
4,1997,-0.37565425,-0.32351556,NA,79,76,ALB
4,1998,-0.32669997,-0.37657399999999996,NA,76,79,ALB
4,1999,-0.3350369,-0.28178284,NA,77,74,ALB
4,2000,-0.123951145,-0.08342468,NA,69,67,ALB
4,2001,-0.13713823,-0.054124698,NA,71,68,ALB
4,2002,-0.058003782999999996,-0.12782837,NA,68,69,ALB
4,2003,-0.19234905,-0.053595304,NA,73,65,ALB
4,2004,-0.14247864,-0.13189167,2.92,68,72,ALB
4,2005,-0.30940023,-0.15682256,2.53,79,72,ALB
4,2006,-0.31073138,-0.34093249999999997,2.25,79,79,ALB
4,2007,-0.28206617,-0.20616669999999998,2.53,75,74,ALB
4,2008,-0.30504617,-0.25289413,3.75,76,74,ALB
4,2009,-0.35466307,-0.41612209999999994,3.95,80,82,ALB
4,2010,-0.4830152,-0.53160024,2.02,84,88,ALB
4,2011,-0.35930654,-0.33143535,2.08,77,79,ALB
4,2012,-0.33151206,-0.35589835,2.25,80,81,ALB
4,2013,-0.44779295,-0.5368205,2.21,83,87,ALB
4,2014,-0.44000176,-0.4760236,1.83,81,84,ALB
4,2015,-0.5985486,-0.60187465,2.67,89,91,ALB
4,2016,-0.5783549,-0.5346453,3.73,88,84,ALB
4,2017,-0.35105443,-0.44769868,3.31,76,85,ALB
4,2018,-0.40324768,-0.45648053,3.38,81,82,ALB
4,2019,-0.53800315,-0.5305583,3.32,89,88,ALB
4,2020,-0.31704912,-0.33775932,3.22,77,80,ALB
4,2021,-0.23033197,-0.26292434,3.22,76,77,ALB
7,1995,-0.21034054,-0.20516624,NA,69,69,ARE
7,1996,-0.43356419999999996,-0.24535763,NA,82,71,ARE
7,1997,-0.31735125,-0.04215381,NA,75,67,ARE
7,1998,-0.12207307,-0.2749728,NA,66,73,ARE
7,1999,-0.33226043,-0.21921045,NA,76,71,ARE
7,2000,-0.42138466,-0.11138385,NA,81,70,ARE
7,2001,-0.21725939,-0.19398424,NA,74,73,ARE
7,2002,-0.28883759999999997,0.04468281599999999,NA,75,63,ARE
7,2003,-0.02882581,0.049636934,NA,64,60,ARE
7,2004,-0.10993423,0.17989956,1.93,64,55,ARE
7,2005,-0.10233099999999999,0.115266025,1.73,63,62,ARE
7,2006,-0.12063892,0.053903575999999995,1.88,68,64,ARE
7,2007,-0.23537205,-0.10750374,1.98,74,66,ARE
7,2008,-0.06682597,-0.27643347,2.19,66,77,ARE
7,2009,-0.33963788,0.07005941,2.59,78,61,ARE
7,2010,-0.013370706000000001,0.2945696,2.78,63,51,ARE
7,2011,-0.1172888,0.030651994,2.95,68,62,ARE
7,2012,0.25623158,0.45351526,2.28,50,45,ARE
7,2013,-0.33841687,-0.07404673,2.71,80,64,ARE
7,2014,-0.12101767,0.087775014,2.16,68,60,ARE
7,2015,-0.055110822999999996,0.2177955,2.41,63,56,ARE
7,2016,-0.019274736,0.110379905,2.88,61,57,ARE
7,2017,0.22287513,0.21047665,0.9,50,53,ARE
7,2018,-0.020214298999999998,0.11804429400000001,1.15,62,55,ARE
7,2019,0.32175362,0.29093677,0.05,47,50,ARE
7,2020,0.29990426,0.3071063,-0.27,48,50,ARE
7,2021,0.12410339,0.2304177,1,56,53,ARE
8,1995,0.20184879,0.24588475,NA,52,55,ARG
8,1996,0.0071993014,0.16708083,NA,60,57,ARG
8,1997,0.07258896,0.27365416,NA,57,52,ARG
8,1998,0.05126593,0.27201512,NA,57,53,ARG
8,1999,0.09677621,0.49933457,NA,55,40,ARG
8,2000,0.14053276,0.43929026,NA,54,42,ARG
8,2001,0.1128897,0.28769848,NA,58,53,ARG
8,2002,0.04537601,0.28453603,NA,61,50,ARG
8,2003,0.045321137000000004,0.30207288,NA,59,48,ARG
8,2004,-0.07084471,0.28128576,3.51,62,51,ARG
8,2005,0.14709046,0.38377178,3.71,53,46,ARG
8,2006,0.076917134,0.33054957,3.43,57,49,ARG
8,2007,-0.044800792,0.17821422,3.31,64,58,ARG
8,2008,0.09602602,0.27883694,3.26,59,53,ARG
8,2009,0.13895184,0.27637008,3.3,57,52,ARG
8,2010,0.052101128,0.27458933,3.14,60,53,ARG
8,2011,-0.0037557895,0.24049366,2.95,64,53,ARG
8,2012,-0.01901466,0.14942345,3.01,66,61,ARG
8,2013,0.042829316,0.20314285,2.84,59,52,ARG
8,2014,-0.047848355,0.106914766,2.86,64,59,ARG
8,2015,-0.1444353,0.11689556400000001,3.76,65,60,ARG
8,2016,-0.3348466,-0.13249487,3.74,74,66,ARG
8,2017,-0.2684406,-0.12075271,2.44,72,66,ARG
8,2018,-0.23950186,-0.14316808,2.41,72,72,ARG
8,2019,-0.31953743,-0.14614138,2.23,79,68,ARG
8,2020,-0.34988347,-0.21127726,1.85,82,75,ARG
8,2021,-0.19786197,-0.31415418,1.85,74,80,ARG
9,1995,-0.18393567,0.25454605,NA,67,53,ARM
9,1996,1.0178042999999999,0.8798087,NA,22,25,ARM
9,1997,0.8187876000000001,1.1785675,NA,26,19,ARM
9,1998,0.80742526,0.84825206,NA,27,28,ARM
9,1999,0.6649645000000001,0.62185955,NA,30,30,ARM
9,2000,0.59711295,0.8577756,NA,35,27,ARM
9,2001,0.6236395,0.8341684000000001,NA,32,28,ARM
9,2002,0.6644699000000001,0.7102739,NA,29,30,ARM
9,2003,0.33712470000000005,0.4975213,NA,43,38,ARM
9,2004,0.49727628,0.6617989000000001,NA,38,32,ARM
9,2005,-0.030199284,0.435237,NA,61,44,ARM
9,2006,-0.04472681,0.14539082,NA,63,59,ARM
9,2007,0.72469234,0.7169003,NA,36,35,ARM
9,2008,0.35607207,0.36060905,NA,49,50,ARM
9,2009,0.24220034,0.24424899,NA,51,56,ARM
9,2010,-0.024895443,0.11631981,NA,65,60,ARM
9,2011,0.31889877,0.54339725,NA,48,40,ARM
9,2012,0.45677355,0.49142292,NA,45,44,ARM
9,2013,-0.15914793,-0.076921545,NA,70,65,ARM
9,2014,-0.14399092,-0.19832158,NA,69,70,ARM
9,2015,-0.19321012,0.03757936,NA,69,63,ARM
9,2016,-0.25290352,-0.0449834,NA,70,64,ARM
9,2017,-0.42266726,-0.23846819,4.17,81,72,ARM
9,2018,-0.42181468,-0.33051574,4.18,82,76,ARM
9,2019,-0.31160134,-0.22687220000000002,4.44,78,73,ARM
9,2020,-0.3380051,-0.15228875,3.99,80,69,ARM
9,2021,-0.5198076,-0.31210533,3.99,91,79,ARM
14,1995,0.11059099,0.44442016,NA,55,37,AUS
14,1996,0.025253419,0.36969742,NA,59,45,AUS
14,1997,-0.03386127,0.42855492,NA,63,42,AUS
14,1998,0.023045922000000003,0.3753169,NA,63,43,AUS
14,1999,-0.06908998,0.35710087,NA,63,45,AUS
14,2000,0.039635636,0.27980432,NA,60,54,AUS
14,2001,-0.12188961,0.29463002,NA,69,52,AUS
14,2002,-0.052461952,0.23138642,NA,66,54,AUS
14,2003,-0.019269928000000002,0.316879,NA,63,47,AUS
14,2004,-0.19873513,0.19664139,2.32,71,54,AUS
14,2005,-0.13632376,0.18443106,2.02,67,60,AUS
14,2006,-0.18326475,0.067166425,2.11,72,62,AUS
14,2007,-0.099253714,0.13768592,1.88,66,60,AUS
14,2008,-0.3971616,-0.17180139,1.43,81,69,AUS
14,2009,-0.35823593,-0.10928604,1.43,81,69,AUS
14,2010,-0.47752290000000003,-0.27644193,1.52,83,75,AUS
14,2011,-0.41334367,-0.1381483,1.29,81,68,AUS
14,2012,-0.5371968,-0.35274154,1.18,93,79,AUS
14,2013,-0.63369036,-0.31145748,1.28,90,78,AUS
14,2014,-0.58777887,-0.39827272,1.07,93,78,AUS
14,2015,-0.48024106,-0.29232502,2.41,81,75,AUS
14,2016,-0.5856133000000001,-0.25955259999999997,2.07,89,72,AUS
14,2017,-0.5985371,-0.4242719,2.17,93,83,AUS
14,2018,-0.5578929,-0.29687175,2.47,89,74,AUS
14,2019,-0.51007617,-0.3461648,2.52,86,79,AUS
14,2020,-0.5607969,-0.32654127,1.96,89,79,AUS
14,2021,-0.5494419,-0.49680379999999996,1.96,93,88,AUS
15,1995,2.066799,2.0002953999999997,NA,6,6,AUT
15,1996,2.0126256999999996,1.9216665000000002,NA,5,6,AUT
15,1997,1.9040054,1.8926188000000002,NA,7,6,AUT
15,1998,1.8782116999999998,1.8919656999999999,NA,8,7,AUT
15,1999,1.8405308999999996,1.836804,NA,8,8,AUT
15,2000,1.823798,1.8424293,NA,8,8,AUT
15,2001,1.8987738999999997,1.8571653000000001,NA,8,8,AUT
15,2002,1.8669966,1.8651200000000001,NA,7,7,AUT
15,2003,1.9312254,1.834977,NA,7,7,AUT
15,2004,1.9589492,1.8253906000000002,2.95,6,7,AUT
15,2005,1.8849411,1.8083588,2.58,6,6,AUT
15,2006,1.7725879,1.7756686999999998,2.44,7,7,AUT
15,2007,1.7876663000000002,1.7300881999999997,2.03,6,6,AUT
15,2008,1.7179961,1.6348162,1.68,7,9,AUT
15,2009,1.7464358,1.6513247,1.77,7,9,AUT
15,2010,1.8190056000000001,1.7243151999999997,1.85,5,9,AUT
15,2011,1.7686691000000003,1.6876339,1.84,7,11,AUT
15,2012,1.7109550999999998,1.6092870000000001,1.71,8,10,AUT
15,2013,1.8554341,1.7209237000000002,1.78,4,10,AUT
15,2014,1.7825325,1.7116789000000001,1.66,5,8,AUT
15,2015,1.85844,1.7470983,2.15,6,7,AUT
15,2016,1.7439438999999999,1.7593633999999998,2.84,7,8,AUT
15,2017,1.722766,1.7286226999999998,2.41,7,8,AUT
15,2018,1.7986872,1.7744883000000002,2.23,7,7,AUT
15,2019,1.8249950000000001,1.7227578000000001,2.58,6,8,AUT
15,2020,1.7700807,1.6635096,2.27,7,9,AUT
15,2021,1.6754705,1.6589996999999999,2.27,7,9,AUT
16,1995,-0.38975778,-0.08456593,NA,78,67,AZE
16,1996,0.1175614,0.50044155,NA,55,38,AZE
16,1997,0.28532195,0.29095733,NA,49,50,AZE
16,1998,0.5258246999999999,0.34457117,NA,34,45,AZE
16,1999,-0.22629519,-0.07629469,NA,70,66,AZE
16,2000,-0.36514986,-0.08565675,NA,75,68,AZE
16,2001,-0.6132825,-0.6731095,NA,92,93,AZE
16,2002,-0.5667353,-0.41282344,NA,88,81,AZE
16,2003,-0.6872534,-0.30460638,NA,96,80,AZE
16,2004,-0.72061586,-0.39322132,3.25,98,80,AZE
16,2005,-1.0541986,-0.27261149999999995,2.54,117,79,AZE
16,2006,-0.94960636,-0.52130365,2.18,113,94,AZE
16,2007,-1.2129455,-0.89734185,1.64,120,106,AZE
16,2008,-1.1920801,-0.71431065,1.67,121,101,AZE
16,2009,-1.4243137,-1.1244226000000002,1.11,126,116,AZE
16,2010,-1.2663201000000002,-1.0484239,1.34,121,114,AZE
16,2011,-1.5295415,-1.313136,1.45,125,126,AZE
16,2012,-1.44287,-0.8277831,1.41,125,105,AZE
16,2013,-1.3197662000000001,-0.9232874,1.66,125,107,AZE
16,2014,-1.2307951000000001,-0.90950805,1.55,120,106,AZE
16,2015,-1.0366505,-0.9833466000000001,1.86,116,108,AZE
16,2016,-1.1118736,-0.9097443000000001,2.02,121,105,AZE
16,2017,-1.6650691000000002,-1.0224555,1.51,131,113,AZE
16,2018,-1.4792801000000002,-1.1440886000000001,1.65,128,118,AZE
