hdi_rank,country,human_development_index_hdi_value_2022,life_expectancy_at_birth_years_2022,expected_years_of_schooling_years_2022,mean_years_of_schooling_years_2022,gross_national_income_gni_per_capita_2017_ppp_2022,gni_per_capita_rank_minus_hdi_rank_2022,hdi_rank_2021
1,Switzerland,0.967,84.255,16.5837307,13.90406622,69432.78669,6,1
2,Norway,0.966,83.393,18.63846016,13.06234279,69189.76165,6,2
3,Iceland,0.959,82.815,19.10672951,13.76716995,54688.37921,16,4
4,"Hong Kong, China (SAR)",0.956,84.315,17.8495903,12.34776974,62485.50516,6,3
5,Denmark,0.952,81.882,18.77403069,12.96049023,62018.95694,6,8
5,Sweden,0.952,83.505,19.03676987,12.67372015,56995.84796,10,5
7,Germany,0.95,80.989,17.34334946,14.25594044,55340.19722,11,7
7,Ireland,0.95,82.716,19.12610054,11.6569568,87467.51391,-3,9
9,Singapore,0.949,84.133,16.90273094,11.92488003,88761.14559,-6,10
10,Australia,0.946,83.579,21.0800209,12.72681999,49257.1352,14,5
10,Netherlands,0.946,82.451,18.58348083,12.58162975,57278.31015,4,11
12,Belgium,0.942,82.293,18.94573975,12.52857789,53644.03854,9,13
12,Finland,0.942,82.351,19.22859001,12.92915501,49522.09853,11,11
12,Liechtenstein,0.942,84.656,15.46640015,12.351169,146673.2415,-11,14
15,United Kingdom,0.94,82.156,17.6342907,13.4061203,46623.90269,13,17
16,New Zealand,0.939,83.006,19.68234062,12.94468975,43665.49848,16,14
17,United Arab Emirates,0.937,79.196,17.20813942,12.77375031,74103.71494,-11,17
18,Canada,0.935,82.847,15.96065044,13.86876597,48444.39319,8,16
19,Korea (Republic of),0.929,84.024,16.50964928,12.61409234,46026.4542,10,20
20,Luxembourg,0.927,82.591,14.19705009,12.9600811,78554.2364,-15,19
20,United States,0.927,78.203,16.41274071,13.57549953,65564.93798,-11,21
22,Austria,0.926,82.412,16.36746025,12.30571367,56529.66329,-5,22
22,Slovenia,0.926,82.133,17.40657997,12.88015724,41586.89849,13,24
24,Japan,0.92,84.82,15.45631981,12.66923046,43643.86417,9,22
25,Israel,0.915,82.601,15.02984047,13.44279092,43588.25725,9,26
25,Malta,0.915,83.704,15.86133957,12.21026039,44464.03057,5,25
27,Spain,0.911,83.912,17.80905914,10.60540009,40043.33773,10,28
28,France,0.91,83.229,15.98756027,11.68859246,47378.74304,-1,27
29,Cyprus,0.907,81.889,16.24308968,12.44017029,40136.89453,7,29
