country,variable,percentile,year,value
AD,sptinc992j,p90p100,2000,0.3492
AD,sptinc992j,p90p100,2001,0.3467
AD,sptinc992j,p90p100,2002,0.341
AD,sptinc992j,p90p100,2003,0.339
AD,sptinc992j,p90p100,2004,0.3432
AD,sptinc992j,p90p100,2005,0.3456
AD,sptinc992j,p90p100,2006,0.3494
AD,sptinc992j,p90p100,2007,0.3515
AD,sptinc992j,p90p100,2008,0.3317
AD,sptinc992j,p90p100,2009,0.3238
AD,sptinc992j,p90p100,2010,0.3409
AD,sptinc992j,p90p100,2011,0.3407
AD,sptinc992j,p90p100,2012,0.3392
AD,sptinc992j,p90p100,2013,0.3385
AD,sptinc992j,p90p100,2014,0.3438
AD,sptinc992j,p90p100,2015,0.343
AD,sptinc992j,p90p100,2016,0.3418
AD,sptinc992j,p90p100,2017,0.3448
AD,sptinc992j,p90p100,2018,0.3448
AD,sptinc992j,p90p100,2019,0.3378
AD,sptinc992j,p90p100,2020,0.3348
AD,sptinc992j,p90p100,2021,0.3453
AD,sptinc992j,p90p100,2022,0.3484
AE,sptinc992j,p90p100,2000,0.5438
AE,sptinc992j,p90p100,2001,0.5449
AE,sptinc992j,p90p100,2002,0.5461
AE,sptinc992j,p90p100,2003,0.5475
AE,sptinc992j,p90p100,2004,0.549
AE,sptinc992j,p90p100,2005,0.5508
AE,sptinc992j,p90p100,2006,0.5529
AE,sptinc992j,p90p100,2007,0.5554
AE,sptinc992j,p90p100,2008,0.5584
AE,sptinc992j,p90p100,2009,0.5619
AE,sptinc992j,p90p100,2010,0.5416
AE,sptinc992j,p90p100,2011,0.5219
AE,sptinc992j,p90p100,2012,0.5026
AE,sptinc992j,p90p100,2013,0.4838
AE,sptinc992j,p90p100,2014,0.4858
AE,sptinc992j,p90p100,2015,0.4837
AE,sptinc992j,p90p100,2016,0.4817
AE,sptinc992j,p90p100,2017,0.4797
AE,sptinc992j,p90p100,2018,0.4778
AE,sptinc992j,p90p100,2019,0.4778
AE,sptinc992j,p90p100,2020,0.4778
AE,sptinc992j,p90p100,2021,0.4778
AE,sptinc992j,p90p100,2022,0.4778
AF,sptinc992j,p90p100,2000,0.4194
AF,sptinc992j,p90p100,2001,0.4194
AF,sptinc992j,p90p100,2002,0.4194
AF,sptinc992j,p90p100,2003,0.4194
AF,sptinc992j,p90p100,2004,0.4194
AF,sptinc992j,p90p100,2005,0.4194
AF,sptinc992j,p90p100,2006,0.4194
AF,sptinc992j,p90p100,2007,0.4194
AF,sptinc992j,p90p100,2008,0.4194
AF,sptinc992j,p90p100,2009,0.4081
AF,sptinc992j,p90p100,2010,0.4044
AF,sptinc992j,p90p100,2011,0.3942
AF,sptinc992j,p90p100,2012,0.3876
AF,sptinc992j,p90p100,2013,0.3923
AF,sptinc992j,p90p100,2014,0.3961
AF,sptinc992j,p90p100,2015,0.3987
AF,sptinc992j,p90p100,2016,0.4041
AF,sptinc992j,p90p100,2017,0.4101
AF,sptinc992j,p90p100,2018,0.4101
AF,sptinc992j,p90p100,2019,0.4101
AF,sptinc992j,p90p100,2020,0.4101
AF,sptinc992j,p90p100,2021,0.4194
AF,sptinc992j,p90p100,2022,0.4194
AG,sptinc992j,p90p100,2000,0.5494
AG,sptinc992j,p90p100,2001,0.5477
AG,sptinc992j,p90p100,2002,0.546
AG,sptinc992j,p90p100,2003,0.5445
AG,sptinc992j,p90p100,2004,0.543
AG,sptinc992j,p90p100,2005,0.5416
AG,sptinc992j,p90p100,2006,0.5403
AG,sptinc992j,p90p100,2007,0.539
AG,sptinc992j,p90p100,2008,0.5378
AG,sptinc992j,p90p100,2009,0.5366
AG,sptinc992j,p90p100,2010,0.5355
